UFL,UFC,UFR,Vel_Izq,Vel_Der
2409,277,221,119,120
2415,278,219,119,120
2413,278,219,119,120
2415,282,222,119,120
2414,276,219,119,120
2414,278,217,119,120
2411,278,218,119,120
2408,281,218,119,120
2411,279,221,119,120
2417,279,220,119,120
2413,278,217,119,120
2417,279,219,119,120
2411,278,220,119,120
2414,280,222,119,120
2415,277,218,119,120
2413,278,215,119,120
2415,277,216,119,120
2416,278,215,119,120
2414,277,225,101,138
2414,278,219,134,105
2412,280,220,119,120
2417,278,220,119,120
2415,275,218,119,120
2412,279,216,119,120
2414,277,218,119,120
2412,280,219,119,120
2413,274,217,119,120
2413,280,218,119,120
2414,283,215,119,120
2414,278,221,119,120
2411,280,222,119,120
2411,276,220,119,120
2416,281,224,101,138
2411,280,218,135,104
2414,282,223,119,120
2411,278,214,119,120
2412,281,218,119,120
2410,281,219,119,120
2413,283,221,119,120
2413,279,220,119,120
2413,279,221,119,120
2418,277,220,119,120
2413,283,220,119,120
2413,277,215,119,120
2415,278,222,119,120
2415,279,220,119,120
2413,278,217,119,120
2409,279,222,119,120
2413,276,221,119,120
2410,279,220,119,120
2416,278,219,119,120
2413,276,218,119,120
2411,281,216,119,120
2416,276,215,119,120
2415,283,214,119,120
2414,282,215,119,120
2411,275,222,119,120
2414,283,223,119,120
2410,277,215,119,120
2415,278,220,119,120
2410,278,222,119,120
2414,282,219,119,120
2410,282,218,119,120
2412,279,216,119,120
2417,277,219,119,120
2411,280,215,119,120
2416,279,219,119,120
2413,282,224,101,138
2416,278,220,134,105
2414,282,218,119,120
2414,280,222,119,120
2415,278,217,119,120
2413,278,221,119,120
2415,276,217,119,120
2415,281,217,119,120
2413,279,219,119,120
2413,274,220,119,120
2410,280,215,119,120
2411,278,216,119,120
2413,282,218,119,120
2413,280,214,119,120
2411,277,218,119,120
2414,275,219,119,120
2411,279,224,101,138
2413,277,218,135,104
2412,278,218,119,120
2413,282,219,119,120
2414,281,222,119,120
2415,280,218,119,120
2413,278,221,119,120
2415,278,219,119,120
2412,277,217,119,120
2413,278,217,119,120
2410,281,216,119,120
2411,279,221,119,120
2412,277,218,119,120
2412,282,216,119,120
2418,279,220,119,120
2414,276,219,119,120
2414,277,221,119,120
2413,281,223,119,120
2414,282,214,119,120
2411,277,217,119,120
2413,282,221,119,120
2417,277,216,119,120
2416,279,218,119,120
2411,279,219,119,120
2416,282,224,101,138
2413,277,222,134,105
2412,278,217,119,120
2412,277,214,119,120
2414,280,215,119,120
2416,280,220,119,120
2412,280,218,119,120
2411,280,220,119,120
2416,278,219,119,120
2414,280,222,119,120
2414,283,219,119,120
2414,283,215,119,120
2415,279,218,119,120
2415,277,219,119,120
2412,280,218,119,120
2409,278,221,119,120
2415,277,217,119,120
2411,279,218,119,120
2414,278,220,119,120
2412,279,219,119,120
2411,281,219,119,120
2413,279,221,119,120
2411,282,216,119,120
2412,277,215,119,120
2410,276,218,119,120
2415,277,223,119,120
2417,277,218,119,120
2412,277,221,119,120
2410,276,218,119,120
2413,278,221,119,120
2418,278,221,119,120
2414,281,215,119,120
2413,283,217,119,120
2414,279,219,119,120
2412,275,222,119,120
2414,279,222,119,120
2416,278,218,119,120
2416,278,221,119,120
2413,278,215,119,120
2411,277,218,119,120
2415,280,218,119,120
2414,277,219,119,120
2411,281,219,119,120
2416,281,223,119,120
2414,280,223,119,120
2409,279,217,119,120
2415,277,219,119,120
2417,278,221,119,120
2415,278,219,119,120
2414,282,221,119,120
2412,277,217,119,120
2412,281,222,119,120
2414,278,219,119,120
2413,279,219,119,120
2415,276,219,119,120
2413,280,221,119,120
2413,281,219,119,120
2415,279,221,119,120
2414,274,218,119,120
2417,275,220,119,120
2413,276,216,119,120
2413,276,221,119,120
2412,276,217,119,120
2417,276,217,119,120
2410,276,218,119,120
2413,278,220,119,120
2416,281,219,119,120
2414,278,216,119,120
2415,277,219,119,120
2415,279,215,119,120
2418,276,217,119,120
2412,282,221,119,120
2408,278,218,119,120
2413,275,219,119,120
2414,279,218,119,120
2412,281,220,119,120
2417,278,220,119,120
2416,278,218,119,120
2411,278,217,119,120
2411,278,223,119,120
2415,278,218,119,120
2411,278,216,119,120
2413,280,217,119,120
2415,281,221,119,120
2413,277,218,119,120
2415,277,217,119,120
2411,277,216,119,120
2413,280,218,119,120
2414,280,214,119,120
2416,276,215,119,120
2415,281,223,119,120
2413,276,217,119,120
2410,282,221,119,120
2411,277,220,119,120
2414,278,221,119,120
2409,278,217,119,120
2413,278,221,119,120
2412,281,221,119,120
2417,278,221,119,120
2416,275,219,119,120
2416,279,219,119,120
2415,280,221,119,120
2413,277,220,119,120
2415,277,221,119,120
2412,279,222,119,120
2415,274,220,119,120
2414,276,215,119,120
2411,282,222,119,120
2411,278,217,119,120
2416,278,220,119,120
2416,280,219,119,120
2413,279,216,119,120
2416,279,221,119,120
2412,277,220,119,120
2415,279,221,119,120
2414,282,220,119,120
2413,276,214,119,120
2411,275,225,101,138
2413,282,220,134,105
2414,280,220,119,120
2417,278,218,119,120
2416,275,218,119,120
2412,281,218,119,120
2417,282,217,119,120
2418,279,218,119,120
2416,277,215,119,120
2411,277,221,119,120
2415,279,215,119,120
2415,277,218,119,120
2417,279,216,119,120
2416,280,221,119,120
2414,278,218,119,120
2415,277,221,119,120
2412,276,219,119,120
2411,278,220,119,120
2414,283,217,119,120
2413,278,221,119,120
2411,276,220,119,120
2416,282,215,119,120
2411,279,217,119,120
2417,278,220,119,120
2418,278,216,119,120
2415,277,222,119,120
2413,277,219,119,120
2418,282,225,101,138
2413,278,219,134,105
2413,278,220,119,120
2417,277,218,119,120
2417,280,221,119,120
2414,279,215,119,120
2414,278,218,119,120
2414,282,222,119,120
2419,275,218,119,120
2413,281,221,119,120
2412,277,219,119,120
2412,278,221,119,120
2412,279,223,119,120
2414,276,216,119,120
2411,283,222,119,120
2415,276,221,119,120
2414,279,221,119,120
2416,279,218,119,120
2414,278,216,119,120
2411,278,220,119,120
2414,278,220,119,120
2413,281,222,119,120
2414,282,217,119,120
2414,281,219,119,120
2414,278,215,119,120
2414,277,215,119,120
2415,278,217,119,120
2415,277,222,119,120
2410,277,217,119,120
2413,276,216,119,120
2417,278,221,119,120
2416,280,221,119,120
2412,278,219,119,120
2413,280,215,119,120
2410,282,219,119,120
2415,278,219,119,120
2413,278,218,119,120
2415,280,219,119,120
2418,279,218,119,120
2415,278,223,119,120
2416,278,218,119,120
2413,281,221,119,120
2418,279,223,119,120
2414,277,221,119,120
2411,277,216,119,120
2412,280,218,119,120
2414,279,217,119,120
2413,279,218,119,120
2411,274,218,119,120
2413,278,219,119,120
2413,282,217,119,120
2416,275,221,119,120
2416,277,218,119,120
2410,277,219,119,120
2412,283,223,119,120
2411,278,218,119,120
2412,277,214,119,120
2413,278,222,119,120
2415,278,217,119,120
2414,280,218,119,120
2414,280,223,119,120
2413,281,220,119,120
2413,281,219,119,120
2411,279,215,119,120
2414,282,220,119,120
2417,277,220,119,120
2413,279,217,119,120
2417,282,222,119,120
2417,275,217,119,120
2411,277,218,119,120
2410,276,219,119,120
2415,278,219,119,120
2413,277,215,119,120
2408,282,219,119,120
2411,281,219,119,120
2416,277,218,119,120
2412,279,218,119,120
2418,278,217,119,120
2411,275,219,119,120
2414,281,218,119,120
2414,279,219,119,120
2416,281,217,119,120
2413,281,219,119,120
2415,279,222,119,120
2418,277,219,119,120
2414,280,215,119,120
2414,279,218,119,120
2415,277,220,119,120
2416,280,217,119,120
2414,277,219,119,120
2412,279,218,119,120
2414,282,220,119,120
2415,275,217,119,120
2411,278,217,119,120
2415,281,217,119,120
2415,281,216,119,120
2417,282,219,119,120
2413,275,218,119,120
2415,281,217,119,120
2414,275,220,119,120
2415,278,214,119,120
2414,278,217,119,120
2416,277,217,119,120
2412,277,220,119,120
2415,280,219,119,120
2414,282,217,119,120
2416,275,218,119,120
2416,279,215,119,120
2414,282,216,119,120
2412,277,220,119,120
2414,278,219,119,120
2413,281,219,119,120
2413,278,221,119,120
2414,282,217,119,120
2413,277,218,119,120
2413,279,218,119,120
2411,279,218,119,120
2416,281,215,119,120
2418,281,220,119,120
2415,278,222,119,120
2413,276,220,119,120
2417,277,218,119,120
2413,281,219,119,120
