UFL,UFC,UFR,Vel_Izq,Vel_Der
2472,266,103,90,79
2441,250,118,90,79
2465,248,104,90,79
2469,228,116,90,79
2487,252,118,90,79
2462,255,106,90,79
2467,259,117,90,79
2484,249,107,90,79
2510,264,116,90,79
2510,271,107,90,79
2502,255,117,90,79
2507,241,121,90,79
2510,254,118,90,79
2526,257,116,90,79
2511,269,115,90,79
2486,228,105,90,79
2479,240,105,90,79
2494,261,113,90,79
2477,250,105,90,79
2465,248,110,90,79
2485,249,103,90,79
2479,254,111,90,79
2471,276,114,90,79
2501,269,106,90,79
2510,279,118,90,79
2521,273,113,90,79
2487,280,115,90,79
2468,314,116,90,79
2507,277,103,90,79
2518,267,125,90,79
2472,245,113,90,79
2478,251,125,90,79
2439,254,117,90,79
2456,242,106,90,79
2447,257,117,90,79
2481,240,116,90,79
2472,249,114,90,79
2451,239,97,90,79
2457,230,102,90,79
2436,225,110,90,79
2454,234,115,90,79
2438,226,103,90,79
2443,231,123,90,79
2449,233,106,90,79
2435,229,107,90,79
2421,225,123,90,79
2417,233,99,90,79
2387,236,119,90,79
2388,208,101,83,86
2438,216,112,95,74
2391,206,123,83,86
2401,230,114,95,74
2397,230,105,90,79
2412,240,110,90,79
2396,225,105,90,79
2359,223,104,90,79
2364,240,109,90,79
2389,244,112,90,79
2411,247,112,90,79
2429,258,115,90,79
2409,248,102,90,79
2412,258,108,90,79
2375,240,108,90,79
2358,243,114,90,79
2374,243,101,90,79
2380,246,116,90,79
2493,229,105,90,79
2466,259,116,90,79
2398,260,115,90,79
2437,243,106,90,79
2475,262,108,90,79
2425,258,114,90,79
2450,253,115,90,79
2505,239,116,90,79
2526,251,109,90,79
2527,253,116,90,79
2479,259,112,90,79
2449,243,114,90,79
2549,248,108,90,79
2503,247,99,90,79
2483,250,105,90,79
2495,240,118,90,79
2510,246,107,90,79
2497,244,117,90,79
2463,240,118,90,79
2459,226,118,90,79
2446,242,123,90,79
2414,246,116,90,79
2474,240,112,90,79
2469,239,119,90,79
2478,235,114,90,79
2494,225,128,90,79
2486,222,127,90,79
2502,227,148,90,79
2495,235,150,90,79
2567,254,152,90,79
2546,260,149,90,79
2524,236,141,90,79
2536,244,133,90,79
2529,260,114,90,79
2461,241,110,90,79
2429,245,112,90,79
2442,245,118,90,79
2412,225,121,90,79
2417,237,114,90,79
2400,237,108,90,79
2414,251,116,90,79
2383,234,116,90,79
2401,243,102,90,79
2411,243,108,90,79
2409,245,104,90,79
2427,252,116,90,79
2430,245,111,90,79
2444,241,107,90,79
2426,255,110,90,79
2385,246,109,90,79
2341,232,100,90,79
2389,230,105,90,79
2406,226,119,90,79
2442,233,112,90,79
2396,231,112,90,79
2400,234,97,90,79
2377,246,108,90,79
